Substation Latitude,Substation Longitude,State,CMIP Data Latitude,CMIP Data Longitude
30.69537766977461,-88.29460564697169,Alabama,30.6282722513089,-88.75
30.531686420644448,-88.55362577759414,Alabama,30.6282722513089,-88.75
30.99558180429329,-88.03157771103302,Alabama,30.6282722513089,-87.5
33.648377065957696,-88.2721070375548,Mississippi,33.45549738219896,-88.75
33.64973042660897,-88.27252665329442,Mississippi,33.45549738219896,-88.75
33.63060139854332,-87.05560636464261,Alabama,33.45549738219896,-87.5
34.608633740071014,-87.05494024943634,Tennessee,34.3979057591623,-87.5
34.70492885996768,-87.11640654718738,Tennessee,34.3979057591623,-87.5
33.635669755857165,-88.65209225812426,Mississippi,33.45549738219896,-88.75
34.37749630592458,-88.8589785137613,Mississippi,34.3979057591623,-88.75
34.718262832587136,-86.84687805964344,Tennessee,34.3979057591623,-86.25
34.79600667862292,-86.52114032242997,Tennessee,34.3979057591623,-86.25
35.67276163385968,-87.01841089885292,Tennessee,35.340314136125656,-87.5
33.21986413219487,-87.06300925801128,Alabama,33.45549738219896,-87.5
33.74017653550816,-86.55813648094536,Alabama,33.45549738219896,-86.25
32.651189225192134,-86.73265066650085,Alabama,32.5130890052356,-86.25
34.194901551567675,-86.74822642852136,Tennessee,34.3979057591623,-86.25
32.377865411546225,-86.58362322875264,Alabama,32.5130890052356,-86.25
32.22904737872409,-86.26056605401455,Alabama,32.5130890052356,-86.25
34.71021869255719,-85.92902564475645,Tennessee,34.3979057591623,-86.25
31.22335773834752,-85.11616462847249,Alabama,31.570680628272257,-85.0
32.609875278878334,-84.91568673590521,Georgia,32.5130890052356,-85.0
31.367150110837105,-84.10675206696769,Georgia,31.570680628272257,-83.75
35.68031232333246,-91.41250157822924,Arkansas,35.340314136125656,-91.25
34.956861962763774,-92.04887550002236,Arkansas,35.340314136125656,-92.5
35.3120586586687,-93.22741327101278,Arkansas,35.340314136125656,-93.75
34.633820766605524,-92.41076826016295,Arkansas,34.3979057591623,-92.5
35.29979621022583,-94.4309387403962,Arkansas,35.340314136125656,-95.0
35.24318160662274,-92.71390441869026,Arkansas,35.340314136125656,-92.5
31.293079793909985,-81.68059537460871,South Carolina,31.570680628272257,-81.25
31.934990444290342,-82.3473267487448,Georgia,31.570680628272257,-82.5
33.145746082969495,-81.76278447813908,South Carolina,33.45549738219896,-81.25
32.88471545780476,-82.41619716711709,Georgia,32.5130890052356,-82.5
33.454511219722065,-82.41463243682281,Georgia,33.45549738219896,-82.5
32.35416955600418,-81.18202289447007,South Carolina,32.5130890052356,-81.25
33.11960996146089,-82.85952057103519,Georgia,33.45549738219896,-82.5
32.27422654224199,-81.28191220418223,South Carolina,32.5130890052356,-81.25
30.27231704257476,-81.95295399196777,Florida,30.6282722513089,-82.5
31.47839299490529,-83.54914961441469,Georgia,31.570680628272257,-83.75
32.56490454497207,-83.5995709160838,Georgia,32.5130890052356,-83.75
33.06048502711816,-83.81269421149905,Georgia,33.45549738219896,-83.75
33.482023369539,-84.36740464414056,Georgia,33.45549738219896,-83.75
33.63683435887363,-84.12448446103465,Georgia,33.45549738219896,-83.75
34.21853790216332,-83.80266223812497,Georgia,34.3979057591623,-83.75
33.932298998670205,-84.21337690564161,Georgia,34.3979057591623,-83.75
33.35125576052569,-84.90619689791217,Georgia,33.45549738219896,-85.0
33.55294129646226,-84.50987726535027,Georgia,33.45549738219896,-85.0
33.96677706022885,-84.378874710886,Georgia,34.3979057591623,-85.0
33.99412061656264,-84.56891676260325,Georgia,34.3979057591623,-85.0
34.32660417338298,-84.3370709286317,Georgia,34.3979057591623,-83.75
34.384386653028656,-84.88246733366046,Georgia,34.3979057591623,-85.0
33.74106276784909,-84.85550873390444,Georgia,33.45549738219896,-85.0
33.41085840076708,-85.03089881955795,Georgia,33.45549738219896,-85.0
34.12154715742596,-84.92232443598942,Georgia,34.3979057591623,-85.0
34.70308140731115,-84.908160158983,Georgia,34.3979057591623,-85.0
36.59444032007575,-87.25301636018465,Tennessee,36.282722513089,-87.5
36.79516411807795,-83.75593828727675,Kentucky,37.22513089005236,-83.75
36.78402715396097,-83.04339386737406,Kentucky,37.22513089005236,-82.5
37.148981442031655,-88.77619705098668,Tennessee,37.22513089005236,-88.75
33.64742820505465,-88.31665372123585,Mississippi,33.45549738219896,-88.75
33.29089837162446,-89.42080848265736,Mississippi,33.45549738219896,-90.0
33.01452852386832,-89.68136361810936,Mississippi,33.45549738219896,-90.0
33.2894377567567,-89.42188345944272,Mississippi,33.45549738219896,-90.0
35.174423116901814,-89.74545006113755,Mississippi,35.340314136125656,-90.0
37.258282769524655,-89.83563883225912,Illinois,37.22513089005236,-90.0
37.94662260855409,-90.45509398736009,Missouri,38.16753926701571,-90.0
35.86141387148214,-90.02005493078944,Arkansas,36.282722513089,-90.0
39.31060181716818,-91.53455047940292,Missouri,39.10994764397907,-91.25
39.836515203153,-91.55137584493558,Missouri,40.0523560209424,-91.25
39.83673206042831,-91.59513984903164,Missouri,40.0523560209424,-91.25
37.951736620975936,-92.02989156679884,Missouri,38.16753926701571,-92.5
38.38510207765935,-91.4936359694865,Missouri,38.16753926701571,-91.25
38.473014459670495,-91.8828563216363,Missouri,38.16753926701571,-92.5
38.97963594190084,-91.98024818592896,Missouri,39.10994764397907,-92.5
39.54439273930999,-92.64096886713452,Missouri,39.10994764397907,-92.5
38.92442185238048,-92.57484317464731,Missouri,39.10994764397907,-92.5
39.16939580375579,-94.16432877428122,Missouri,39.10994764397907,-93.75
37.489537502295725,-93.62076149309888,Missouri,37.22513089005236,-93.75
