Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
30.27231704257476,-81.95295399196777,Duval Substation FPL,Transmission,500000
31.478392994905295,-83.54914961441469,North Tifton Substation (500kV),Transmission,500000
32.56490454497207,-83.5995709160838,Bonaire Primary Substation,Transmission,500000
33.06048502711816,-83.81269421149905,Scherer Substation,Transmission,500000
33.482023369539,-84.36740464414056,O'Hara Substation,Transmission,500000
33.63683435887363,-84.12448446103465,Klondike Substation,Transmission,500000
34.21853790216332,-83.80266223812497,South Hall Substation,Transmission,500000
33.932298998670205,-84.21337690564161,Norcross Substation,Transmission,500000
33.35125576052569,-84.90619689791217,Dresden Substation,Transmission,500000
33.55294129646226,-84.50987726535027,Union Substation,Transmission,500000
33.96677706022885,-84.378874710886,Bull Sluice Substation,Transmission,500000
33.99412061656264,-84.56891676260325,Big Shanty Substation,Transmission,500000
34.32660417338298,-84.3370709286317,McGrau Ford Substation,Transmission,500000
34.384386653028656,-84.88246733366046,Mostellar Springs Substation,Transmission,500000
33.74106276784909,-84.85550873390444,Villa Rica Substation,Transmission,500000
33.410858400767076,-85.03089881955795,Wansley Substation,Transmission,500000
34.12154715742596,-84.92232443598942,Bowen Substation,Transmission,500000
34.70308140731115,-84.908160158983,Conasauga Substation,Transmission,500000
36.59444032007575,-87.25301636018465,Montgomery Substation,Transmission,500000
36.79516411807795,-83.75593828727675,Pineville Substation,Transmission,500000
36.78402715396097,-83.04339386737406,Pocket Substation,Transmission,500000
37.148981442031655,-88.77619705098668,Shawnee Station,Transmission,500000
33.64742820505465,-88.31665372123585,Lowndes Substation,Transmission,500000
33.29089837162446,-89.42080848265736,Wolf Creek Substation,Transmission,500000
33.01452852386832,-89.68136361810936,McAdams Substation,Transmission,500000
33.2894377567567,-89.42188345944272,Choctaw Substation,Transmission,500000
35.174423116901814,-89.74545006113755,Cordova Substation,Transmission,500000
37.258282769524655,-89.83563883225912,Lutesville Substation,Transmission,345000
37.94662260855409,-90.45509398736009,St. Francois Substation,Transmission,345000
35.86141387148214,-90.02005493078944,Dell Substation,Transmission,500000
39.31060181716818,-91.53455047940291,Audrain Substation,Transmission,345000
39.836515203153,-91.55137584493558,Palmyra Substation,Transmission,345000
39.83673206042831,-91.59513984903165,Maywood Substation,Transmission,345000
37.951736620975936,-92.02989156679884,Franks Substation,Transmission,345000
38.38510207765935,-91.4936359694865,Bland Substation,Transmission,345000
38.473014459670495,-91.8828563216363,Loose Creek Substation,Transmission,345000
38.97963594190084,-91.98024818592897,McCredie substation,Transmission,345000
39.54439273930999,-92.64096886713452,Thomas Hill 345kV Substation,Transmission,345000
38.924421852380476,-92.57484317464731,Overton 345kV Substation,Transmission,345000
39.16939580375579,-94.16432877428122,Sibley Substation,Transmission,345000
37.489537502295725,-93.62076149309888,Morgan Substation,Transmission,345000
39.33018353542515,-94.5803111390387,Nashua Substation,Transmission,345000
40.006192818884585,-94.3424090001761,Fairport Substation,Transmission,345000
39.84419916153647,-94.79466151870939,St. Joseph Substation,Transmission,345000
35.78210965294742,-78.4521551148762,Wake Substation,Transmission,500000
34.878706681403195,-78.78222477129866,Cumberland Substation,Transmission,500000
35.95038320466862,-78.75008073569565,Durham Substation,Transmission,500000
36.76113075700863,-77.71121136881324,Brunswick Heritage Substation,Transmission,500000
34.84342182716298,-79.74621874671699,Richmond Substation,Transmission,500000
36.52474031067116,-78.88848918454958,Mayo Substation,Transmission,500000
35.87131406753623,-78.93053480568476,Parkwood Substation,Transmission,500000
35.94167988738923,-79.75489087180162,Pleasant Garden Tie Substation,Transmission,500000
36.48116292674998,-79.05106158903996,Person Substation,Transmission,500000
34.997455264379475,-81.12127707481919,Newport Tie Substation,Transmission,500000
35.72367986434865,-80.60065494932982,Woodleaf Switching Station,Transmission,500000
35.42225421978212,-80.94526872957036,McGuire Substation,Transmission,500000
36.17631783736617,-81.0363712750048,Antioch Substation,Transmission,500000
36.87933542248808,-80.82233456594065,Jacksons Ferry Substation,Transmission,765000
34.95433482977414,-82.91549867686913,Jocassee Tie Substation,Transmission,500000
36.59144125189704,-82.69624713196605,Nagel Substation,Transmission,500000
35.33522213959153,-86.1172805292131,Franklin Substation,Transmission,500000
35.22707198689349,-85.09419707348123,Sequoyah Substation,Transmission,500000
35.82826276938617,-86.59839069701937,Rutherford Substation,Transmission,500000
36.205250657775956,-86.46482820897184,Wilson Substation,Transmission,500000
36.04654641006467,-86.60578712647074,Pin Point Substation,Transmission,500000
35.94527989934444,-84.38853525222136,Roane Substation,Transmission,500000
35.60032501910868,-84.78911439427351,Watts Bar Power Station,Transmission,500000
35.041857049109595,-84.95924194575967,Bradley Substation,Transmission,500000
36.019164109643185,-84.1579834213372,Bull Run Substation,Transmission,500000
36.12213390543042,-83.81532113198179,Volunteer Substation,Transmission,500000
36.460729840805115,-82.80823270724444,Phipps Bend Substation,Transmission,500000
36.442340066721755,-82.27955375259583,Sullivan Substation,Transmission,500000
36.781567001315565,-83.04460024315465,Pocket Substation,Transmission,161000
36.06737177894041,-86.98404729777957,Davidson Substation,Transmission,500000
36.0238207118165,-87.98161148133438,Johnsonville 500kV Substation,Transmission,500000
36.392150780789976,-87.65747372114824,Cumberland 500kV Substation,Transmission,500000
36.24474673171792,-88.61150246747377,Gleason Substation,Transmission,500000
36.2752230844263,-88.83406011000929,Weakley Substation,Transmission,500000
35.70298032792538,-88.79071326007134,Jackson Switching Station,Transmission,500000
35.65721478714051,-89.39418681521067,Lagoon Creek Substation,Transmission,500000
34.995743658209584,-90.0488569357431,Freeport Substation,Transmission,500000
35.38638034183999,-89.80307085113705,Shelby Substation,Transmission,500000
35.644713374211506,-89.9701923852534,Driver Substation,Transmission,500000
34.311870117955955,-109.16096975085696,Springerville Substation,Transmission,345000
34.63615954456501,-110.13456359969865,Sugarloaf Substation,Transmission,500000
34.57694554411344,-109.27743298085953,Coronado Substation,Transmission,500000
33.33889744805461,-111.03716503271595,Silverking Substation,Transmission,500000
35.59282967137923,-108.81747305113167,McKinley Substation,Transmission,345000
32.403633887297374,-108.59931880123663,Hidalgo Substation,Transmission,345000
32.54415520156178,-111.28586346471535,Tortolita Substation,Transmission,500000
32.55621727375439,-111.29657878945783,Saguaro Substation,Transmission,500000
33.15056591232789,-111.46865384010968,Abel Substation,Transmission,230000
32.962370559264656,-111.99483561593954,Duke Substation,Transmission,500000
33.70393995664984,-111.93842367598835,Pinnacle Peak Substation,Transmission,500000
35.832630082789784,-111.44659108166229,Moenkopi Substation,Transmission,500000
36.90287774042459,-111.39462159807574,Navajo Generating Station Unit,Transmission,500000
35.79735736606345,-115.00848259706825,Eldorado Substation,Transmission,500000
