time	lat	lon	ts
755380.5	19.31937172774869	198.75	301.10687
755380.5	19.31937172774869	200.0	301.05194
755380.5	19.31937172774869	201.25	300.9922
755380.5	19.31937172774869	202.5	300.87042
755380.5	19.31937172774869	203.75	300.76727
755380.5	19.31937172774869	205.0	301.2868
755380.5	19.31937172774869	206.25	300.43057
755380.5	19.31937172774869	207.5	300.56348
755380.5	19.31937172774869	208.75	300.6037
755380.5	19.31937172774869	210.0	300.5854
755380.5	19.31937172774869	211.25	300.55225
755380.5	19.31937172774869	212.5	300.51154
755380.5	19.31937172774869	213.75	300.45203
755380.5	19.31937172774869	215.0	300.3988
755380.5	19.31937172774869	216.25	300.3779
755380.5	19.31937172774869	217.5	300.36945
755380.5	19.31937172774869	218.75	300.36026
755380.5	19.31937172774869	220.0	300.3452
755380.5	19.31937172774869	221.25	300.33936
755380.5	19.31937172774869	222.5	300.3377
755380.5	19.31937172774869	223.75	300.3134
755380.5	19.31937172774869	225.0	300.2828
755380.5	19.31937172774869	226.25	300.24792
755380.5	19.31937172774869	227.5	300.20633
755380.5	19.31937172774869	228.75	300.19174
755380.5	19.31937172774869	230.0	300.25763
755380.5	19.31937172774869	231.25	300.37946
755380.5	19.31937172774869	232.5	300.52167
755380.5	19.31937172774869	233.75	300.67624
755380.5	19.31937172774869	235.0	300.86093
755380.5	19.31937172774869	236.25	301.04907
755380.5	19.31937172774869	237.5	301.22534
755380.5	19.31937172774869	238.75	301.35834
755380.5	19.31937172774869	240.0	301.50836
755380.5	19.31937172774869	241.25	301.6847
755380.5	19.31937172774869	242.5	301.87402
755380.5	19.31937172774869	243.75	302.08347
755380.5	19.31937172774869	245.0	302.35898
755380.5	19.31937172774869	246.25	302.71112
755380.5	19.31937172774869	247.5	303.1487
755380.5	19.31937172774869	248.75	303.69937
755380.5	19.31937172774869	250.0	304.2444
755380.5	19.31937172774869	251.25	304.6719
755380.5	19.31937172774869	252.5	304.9176
755380.5	19.31937172774869	253.75	304.94608
755380.5	19.31937172774869	255.0	305.5426
755380.5	19.31937172774869	256.25	302.54187
755380.5	19.31937172774869	257.5	300.44815
755380.5	19.31937172774869	258.75	296.9596
755380.5	19.31937172774869	260.0	294.48785
755380.5	19.31937172774869	261.25	293.65753
755380.5	19.31937172774869	262.5	295.6436
755380.5	19.31937172774869	263.75	303.711
755380.5	19.31937172774869	265.0	304.508
755380.5	19.31937172774869	266.25	304.56424
755380.5	19.31937172774869	267.5	304.4785
755380.5	19.31937172774869	268.75	305.5603
755380.5	19.31937172774869	270.0	309.91608
755380.5	19.31937172774869	271.25	307.68655
755380.5	19.31937172774869	272.5	306.1131
755380.5	19.31937172774869	273.75	304.21964
755380.5	19.31937172774869	275.0	304.48355
755380.5	19.31937172774869	276.25	304.76306
755380.5	19.31937172774869	277.5	304.80084
755380.5	19.31937172774869	278.75	304.81787
755380.5	19.31937172774869	280.0	304.86533
755380.5	19.31937172774869	281.25	304.90045
755380.5	19.31937172774869	282.5	304.9384
755380.5	19.31937172774869	283.75	304.9835
755380.5	19.31937172774869	285.0	304.98056
755380.5	19.31937172774869	286.25	304.86877
755380.5	19.31937172774869	287.5	308.23465
755380.5	19.31937172774869	288.75	309.249
755380.5	19.31937172774869	290.0	305.14682
755380.5	19.31937172774869	291.25	303.82907
755380.5	19.31937172774869	292.5	303.5532
755380.5	20.261780104712045	198.75	300.93164
755380.5	20.261780104712045	200.0	300.87473
755380.5	20.261780104712045	201.25	300.81067
755380.5	20.261780104712045	202.5	300.70688
755380.5	20.261780104712045	203.75	300.37375
755380.5	20.261780104712045	205.0	300.059
755380.5	20.261780104712045	206.25	300.12506
755380.5	20.261780104712045	207.5	300.24136
755380.5	20.261780104712045	208.75	300.27493
755380.5	20.261780104712045	210.0	300.25854
755380.5	20.261780104712045	211.25	300.2337
755380.5	20.261780104712045	212.5	300.19534
755380.5	20.261780104712045	213.75	300.11398
755380.5	20.261780104712045	215.0	300.03455
755380.5	20.261780104712045	216.25	299.99878
755380.5	20.261780104712045	217.5	299.97543
755380.5	20.261780104712045	218.75	299.94318
755380.5	20.261780104712045	220.0	299.90186
755380.5	20.261780104712045	221.25	299.8804
755380.5	20.261780104712045	222.5	299.87695
755380.5	20.261780104712045	223.75	299.87637
755380.5	20.261780104712045	225.0	299.85294
755380.5	20.261780104712045	226.25	299.81525
755380.5	20.261780104712045	227.5	299.75888
755380.5	20.261780104712045	228.75	299.73248
755380.5	20.261780104712045	230.0	299.7618
755380.5	20.261780104712045	231.25	299.86072
755380.5	20.261780104712045	232.5	300.0123
755380.5	20.261780104712045	233.75	300.1562
755380.5	20.261780104712045	235.0	300.33435
755380.5	20.261780104712045	236.25	300.54883
755380.5	20.261780104712045	237.5	300.73828
755380.5	20.261780104712045	238.75	300.8674
755380.5	20.261780104712045	240.0	301.02753
755380.5	20.261780104712045	241.25	301.23148
755380.5	20.261780104712045	242.5	301.44186
755380.5	20.261780104712045	243.75	301.64786
755380.5	20.261780104712045	245.0	301.9222
755380.5	20.261780104712045	246.25	302.26648
755380.5	20.261780104712045	247.5	302.71344
755380.5	20.261780104712045	248.75	303.41724
755380.5	20.261780104712045	250.0	304.1536
755380.5	20.261780104712045	251.25	304.6799
755380.5	20.261780104712045	252.5	304.90256
755380.5	20.261780104712045	253.75	304.79773
755380.5	20.261780104712045	255.0	303.96225
755380.5	20.261780104712045	256.25	298.50894
755380.5	20.261780104712045	257.5	295.5566
755380.5	20.261780104712045	258.75	294.36993
755380.5	20.261780104712045	260.0	293.29803
