Latitude,Longitude,Marker Label
36.52490760746564,-78.88934579,circuit_breaker
36.52465650657585,-78.88875076,circuit_breaker
36.524023402803074,-78.88917796,primary_power_line
36.523786759750806,-78.88859239,primary_power_line
36.52420876963349,-78.88758693,circuit_breaker
36.52575501890405,-78.8888325,circuit_breaker
36.52500058915594,-78.8897855,control_building
40.7128,-74.006,Marker 1
34.0522,-118.2437,Marker 2
41.8781,-87.6298,Marker 3
36.761486728039934,-77.71102785,circuit_breaker
36.76110073964484,-77.7109909,circuit_breaker
36.76100942932808,-77.71099232,primary_power_line
36.760983062605526,-77.71131994,primary_power_line
36.76095651405376,-77.71180777,primary_power_line
36.76142168183179,-77.71183864,circuit_breaker
36.76105261072786,-77.71181182,circuit_breaker
36.76066091387317,-77.71178669,circuit_breaker
36.76108943227258,-77.71134106,circuit_breaker
36.76070551440608,-77.71130688,circuit_breaker
36.76133933922787,-77.71068057,control_building
41.512728516226886,-120.6344134,three_ph_transformer
41.51206175,-120.6337858,three_ph_transformer
41.51361443568963,-120.6353976,three_ph_transformer
41.51412308342268,-120.6347297,primary_power_line
41.51412228,-120.6344706,primary_power_line
41.51213376959322,-120.6329127,sec_power_line
41.51299637340916,-120.6357713,control_building
41.128474270549134,-73.42876168,three_ph_transformer
41.12863479057315,-73.42879921,three_ph_transformer
41.12796293744287,-73.42852781,three_ph_transformer
41.12794437264467,-73.42863323,three_ph_transformer
41.12793967888836,-73.42871308,three_ph_transformer
41.12791738578227,-73.42882802,three_ph_transformer
41.12791693734427,-73.42891563,three_ph_transformer
41.12789377982639,-73.42901745,three_ph_transformer
41.12909135257637,-73.42877916,three_ph_transformer
41.12919923,-73.42880842,three_ph_transformer
41.127014298440486,-73.42820998,three_ph_transformer
41.12685308090088,-73.42859235,three_ph_transformer
41.12676889233824,-73.42881548,three_ph_transformer
41.12675619051448,-73.42826912,three_ph_transformer
41.126864203305054,-73.42811283,three_ph_transformer
41.12693007580433,-73.42799714,three_ph_transformer
41.127128544232654,-73.42853647,sec_power_line
41.12719946,-73.42859769,sec_power_line
41.12734354,-73.42870229,sec_power_line
41.12748957257107,-73.42880402,sec_power_line
41.130084174302525,-73.42924243,primary_power_line
41.13010845152549,-73.42909077,primary_power_line
41.13011556418456,-73.4290136,primary_power_line
41.12835217970056,-73.42899799,control_building
41.12777362571647,-73.42820272,control_building
41.12743929698703,-73.42891591,circuit_breaker
41.127519516836976,-73.428733,circuit_breaker
41.12760590683978,-73.42853888,circuit_breaker
41.12771252582817,-73.42850947,circuit_breaker
41.12746795443703,-73.42842978,circuit_breaker
41.127378987238295,-73.42862223,circuit_breaker
41.12729761644911,-73.42880266,circuit_breaker
41.12714676020875,-73.42868375,circuit_breaker
41.12707814269939,-73.42864482,circuit_breaker
41.12716525534612,-73.42843995,circuit_breaker
41.12723132873122,-73.42849855,circuit_breaker
41.12732044170951,-73.42832404,circuit_breaker
41.12725655967534,-73.42827538,circuit_breaker
41.12701224536377,-73.42802947,circuit_breaker
41.12713275054454,-73.42803995,circuit_breaker
41.62027257452083,-73.44278928,control_building
41.62005136288961,-73.44213284,circuit_breaker
41.62008598185719,-73.44183942,circuit_breaker
41.62049200002758,-73.44190557,circuit_breaker
41.620472921731455,-73.44223659,circuit_breaker
41.62091005378414,-73.44200219,circuit_breaker
41.62087037936372,-73.44230531,circuit_breaker
41.62063405061745,-73.44262617,primary_power_line
41.62029498461571,-73.44191906,primary_power_line
41.62025725578693,-73.44220991,primary_power_line
41.39138858727519,-73.40156313,control_building
41.390898276573765,-73.40227828,three_ph_transformer
41.39214104,-73.40266689,three_ph_transformer
41.39240204,-73.40189619,three_ph_transformer
41.391134727193496,-73.40197828,three_ph_transformer
41.391903398259785,-73.40268806,primary_power_line
41.39095179749823,-73.40325862,sec_power_line
41.39109571,-73.4032431,sec_power_line
41.39125625782446,-73.4037408,sec_power_line
41.391134032479926,-73.40154666,sec_power_line
41.390981341547096,-73.4015872,sec_power_line
41.39128906864691,-73.40196342,circuit_breaker
41.391027573310105,-73.40197361,circuit_breaker
41.391038979340216,-73.40216976,circuit_breaker
41.39113743660335,-73.40217084,circuit_breaker
41.39129851994915,-73.40215561,circuit_breaker
41.3913961251622,-73.40214892,circuit_breaker
41.391039265457394,-73.4023653,circuit_breaker
41.39113940416723,-73.40236547,circuit_breaker
41.391303716725965,-73.40235592,circuit_breaker
41.39096609202672,-73.40247453,circuit_breaker
41.39094958024776,-73.40188139,circuit_breaker
41.39168384,-73.40205781,circuit_breaker
41.391698415885536,-73.40186381,three_ph_transformer
41.39171100795016,-73.40247344,three_ph_transformer
41.08539238354791,-74.14612439,three_ph_transformer
41.08689846866663,-74.14595295,primary_power_line
41.08687476073465,-74.14619874,primary_power_line
41.08625353678504,-74.14611057,circuit_breaker
41.08481061227205,-74.14589405,circuit_breaker
41.08491252804228,-74.14590373,circuit_breaker
41.085112507977605,-74.14593631,circuit_breaker
41.08521339493896,-74.14594491,circuit_breaker
41.08519760541258,-74.14615458,circuit_breaker
41.08509104052128,-74.14613253,circuit_breaker
41.08489608386565,-74.14610609,circuit_breaker
41.08479515236581,-74.1460824,circuit_breaker
41.08477248595739,-74.14629525,circuit_breaker
41.08488212878702,-74.14631365,circuit_breaker
41.085075965677554,-74.14634484,circuit_breaker
41.08518006106076,-74.1463624,circuit_breaker
41.08469646150887,-74.14596767,three_ph_transformer
41.084374712093606,-74.14583982,three_ph_transformer
41.08381085068713,-74.14583894,primary_power_line
41.08380997452413,-74.14596901,primary_power_line
41.08381722,-74.14609875,primary_power_line
