Latitude,Longitude,Surface Temperature
19.31937172774869,-161.25,86.99424800000004
19.31937172774869,-160.0,86.90439200000006
19.31937172774869,-158.75,86.78381
19.31937172774869,-157.5,86.54036000000004
19.31937172774869,-156.25,86.21954600000007
19.31937172774869,-155.0,86.55666799999999
19.31937172774869,-153.75,85.50422600000005
19.31937172774869,-152.5,85.56245600000007
19.31937172774869,-151.25,85.47769400000001
19.31937172774869,-150.0,85.32800600000009
19.31937172774869,-148.75,85.18195400000008
19.31937172774869,-147.5,85.044236
19.31937172774869,-146.25,84.91668800000004
19.31937172774869,-145.0,84.76375999999999
19.31937172774869,-143.75,84.658226
19.31937172774869,-142.5,84.57753200000002
19.31937172774869,-141.25,84.51161600000007
19.31937172774869,-140.0,84.45196400000006
19.31937172774869,-138.75,84.38511200000002
19.31937172774869,-137.5,84.30548000000002
19.31937172774869,-136.25,84.20334800000003
19.31937172774869,-135.0,84.06365000000005
19.31937172774869,-133.75,83.89133600000005
19.31937172774869,-132.5,83.80855400000002
19.31937172774869,-131.25,83.83436600000002
19.31937172774869,-130.0,83.93570600000007
19.31937172774869,-128.75,84.05996000000006
19.31937172774869,-127.5,84.18272000000005
19.31937172774869,-126.25,84.31649600000004
19.31937172774869,-125.0,84.52853600000002
19.31937172774869,-123.75,84.81596000000009
19.31937172774869,-122.5,85.14905000000007
19.31937172774869,-121.25,85.43402600000007
19.31937172774869,-120.0,85.72967600000004
19.31937172774869,-118.75,86.04134600000008
19.31937172774869,-117.5,86.35040600000005
19.31937172774869,-116.25,86.68619600000008
19.31937172774869,-115.0,87.16604000000004
19.31937172774869,-113.75,87.89869400000006
19.31937172774869,-112.5,88.86698600000005
19.31937172774869,-111.25,89.98502000000005
19.31937172774869,-110.0,91.055246
19.31937172774869,-108.75,91.966064
19.31937172774869,-107.5,92.60085200000003
19.31937172774869,-106.25,92.86858400000008
19.31937172774869,-105.0,94.81685000000003
19.31937172774869,-103.75,86.86230800000001
19.31937172774869,-102.5,83.57509399999999
19.31937172774869,-101.25,79.12513400000002
19.31937172774869,-100.0,76.58684600000008
19.31937172774869,-98.75,74.39678600000008
19.31937172774869,-97.5,77.25174799999999
19.31937172774869,-96.25,91.06790000000008
19.31937172774869,-95.0,90.68626400000008
19.31937172774869,-93.75,90.692132
19.31937172774869,-92.5,90.576392
19.31937172774869,-91.25,92.55092000000005
19.31937172774869,-90.0,100.70666600000008
19.31937172774869,-88.75,97.45181600000001
19.31937172774869,-87.5,94.10972000000001
19.31937172774869,-86.25,89.28055400000005
19.31937172774869,-85.0,89.75253200000002
19.31937172774869,-83.75,90.27800600000009
19.31937172774869,-82.5,90.44319200000008
19.31937172774869,-81.25,90.55004000000002
19.31937172774869,-80.0,90.68432000000008
19.31937172774869,-78.75,90.70106000000007
19.31937172774869,-77.5,90.57740000000001
19.31937172774869,-76.25,90.40150400000005
19.31937172774869,-75.0,90.237632
19.31937172774869,-73.75,89.93579000000003
19.31937172774869,-72.5,97.17260000000009
19.31937172774869,-71.25,99.94400599999999
19.31937172774869,-70.0,91.17685400000002
19.31937172774869,-68.75,87.56087000000007
19.31937172774869,-67.5,86.99539999999999
20.261780104712045,-161.25,86.68076000000009
20.261780104712045,-160.0,86.63653400000001
20.261780104712045,-158.75,86.58482000000002
20.261780104712045,-157.5,86.38385000000002
20.261780104712045,-156.25,85.78814000000008
20.261780104712045,-155.0,85.17425000000009
20.261780104712045,-153.75,85.20704600000006
20.261780104712045,-152.5,85.26416000000003
20.261780104712045,-151.25,85.17365600000005
20.261780104712045,-150.0,85.00640000000007
20.261780104712045,-148.75,84.84933200000003
20.261780104712045,-147.5,84.68751200000004
20.261780104712045,-146.25,84.50607200000005
20.261780104712045,-145.0,84.32654000000005
20.261780104712045,-143.75,84.21202400000003
20.261780104712045,-142.5,84.10555400000005
20.261780104712045,-141.25,84.01235000000004
20.261780104712045,-140.0,83.93360000000006
20.261780104712045,-138.75,83.85944000000005
20.261780104712045,-137.5,83.7626
20.261780104712045,-136.25,83.61831200000005
20.261780104712045,-135.0,83.45231600000005
20.261780104712045,-133.75,83.23556
20.261780104712045,-132.5,83.10920000000002
20.261780104712045,-131.25,83.06268800000008
20.261780104712045,-130.0,83.0814080000001
20.261780104712045,-128.75,83.15096000000007
20.261780104712045,-127.5,83.20726400000004
20.261780104712045,-126.25,83.27012000000003
20.261780104712045,-125.0,83.47197200000005
20.261780104712045,-123.75,83.71319000000003
20.261780104712045,-122.5,83.94710000000005
20.261780104712045,-121.25,84.19395200000002
20.261780104712045,-120.0,84.542324
20.261780104712045,-118.75,84.89156000000004
20.261780104712045,-117.5,85.30570400000002
20.261780104712045,-116.25,85.73720000000007
20.261780104712045,-115.0,86.27975600000009
20.261780104712045,-113.75,87.09648800000005
20.261780104712045,-112.5,88.14358400000009
20.261780104712045,-111.25,89.38625000000005
20.261780104712045,-110.0,90.69191600000003
20.261780104712045,-108.75,91.82307200000005
20.261780104712045,-107.5,92.50768400000003
20.261780104712045,-106.25,92.56470800000002
20.261780104712045,-105.0,91.5969200000001
20.261780104712045,-103.75,79.65302000000003
20.261780104712045,-102.5,76.55838800000001
20.261780104712045,-101.25,75.57782
20.261780104712045,-100.0,76.81992800000003
20.261780104712045,-98.75,77.02937600000001
20.261780104712045,-97.5,88.47406400000001
20.261780104712045,-96.25,91.18493600000008
20.261780104712045,-95.0,90.74066000000006
20.261780104712045,-93.75,90.61916000000006
20.261780104712045,-92.5,90.437306
20.261780104712045,-91.25,90.52779200000002
20.261780104712045,-90.0,102.76916000000007
