time	lat	lon	ts
759030.5	19.31937172774869	198.75	301.73157
759030.5	19.31937172774869	200.0	301.68613
759030.5	19.31937172774869	201.25	301.64722
759030.5	19.31937172774869	202.5	301.51974
759030.5	19.31937172774869	203.75	301.43634
759030.5	19.31937172774869	205.0	302.27155
759030.5	19.31937172774869	206.25	300.9923
759030.5	19.31937172774869	207.5	301.07672
759030.5	19.31937172774869	208.75	301.09134
759030.5	19.31937172774869	210.0	301.05872
759030.5	19.31937172774869	211.25	301.02667
759030.5	19.31937172774869	212.5	300.9979
759030.5	19.31937172774869	213.75	300.95135
759030.5	19.31937172774869	215.0	300.86282
759030.5	19.31937172774869	216.25	300.77997
759030.5	19.31937172774869	217.5	300.69745
759030.5	19.31937172774869	218.75	300.62463
759030.5	19.31937172774869	220.0	300.57748
759030.5	19.31937172774869	221.25	300.57343
759030.5	19.31937172774869	222.5	300.5937
759030.5	19.31937172774869	223.75	300.55176
759030.5	19.31937172774869	225.0	300.42688
759030.5	19.31937172774869	226.25	300.34
759030.5	19.31937172774869	227.5	300.28174
759030.5	19.31937172774869	228.75	300.227
759030.5	19.31937172774869	230.0	300.20374
759030.5	19.31937172774869	231.25	300.21582
759030.5	19.31937172774869	232.5	300.23392
759030.5	19.31937172774869	233.75	300.2262
759030.5	19.31937172774869	235.0	300.2021
759030.5	19.31937172774869	236.25	300.24747
759030.5	19.31937172774869	237.5	300.36307
759030.5	19.31937172774869	238.75	300.47623
759030.5	19.31937172774869	240.0	300.59125
759030.5	19.31937172774869	241.25	300.7728
759030.5	19.31937172774869	242.5	301.02203
759030.5	19.31937172774869	243.75	301.391
759030.5	19.31937172774869	245.0	301.8663
759030.5	19.31937172774869	246.25	302.44156
759030.5	19.31937172774869	247.5	303.14288
759030.5	19.31937172774869	248.75	303.8282
759030.5	19.31937172774869	250.0	304.40762
759030.5	19.31937172774869	251.25	304.90988
759030.5	19.31937172774869	252.5	305.21945
759030.5	19.31937172774869	253.75	305.26587
759030.5	19.31937172774869	255.0	307.01956
759030.5	19.31937172774869	256.25	306.2693
759030.5	19.31937172774869	257.5	303.843
759030.5	19.31937172774869	258.75	299.1101
759030.5	19.31937172774869	260.0	295.9913
759030.5	19.31937172774869	261.25	295.31677
759030.5	19.31937172774869	262.5	297.3719
759030.5	19.31937172774869	263.75	304.78214
759030.5	19.31937172774869	265.0	305.37866
759030.5	19.31937172774869	266.25	305.45068
759030.5	19.31937172774869	267.5	305.39734
759030.5	19.31937172774869	268.75	306.54034
759030.5	19.31937172774869	270.0	311.74353
759030.5	19.31937172774869	271.25	309.48438
759030.5	19.31937172774869	272.5	307.6166
759030.5	19.31937172774869	273.75	304.839
759030.5	19.31937172774869	275.0	305.17862
759030.5	19.31937172774869	276.25	305.56955
759030.5	19.31937172774869	277.5	305.71176
759030.5	19.31937172774869	278.75	305.83725
759030.5	19.31937172774869	280.0	305.99112
759030.5	19.31937172774869	281.25	306.0792
759030.5	19.31937172774869	282.5	306.12122
759030.5	19.31937172774869	283.75	306.16214
759030.5	19.31937172774869	285.0	306.14334
759030.5	19.31937172774869	286.25	305.94128
759030.5	19.31937172774869	287.5	310.09073
759030.5	19.31937172774869	288.75	311.6321
759030.5	19.31937172774869	290.0	306.5356
759030.5	19.31937172774869	291.25	304.3485
759030.5	19.31937172774869	292.5	304.0009
759030.5	20.261780104712045	198.75	301.56903
759030.5	20.261780104712045	200.0	301.52338
759030.5	20.261780104712045	201.25	301.48132
759030.5	20.261780104712045	202.5	301.37332
759030.5	20.261780104712045	203.75	301.03342
759030.5	20.261780104712045	205.0	300.71362
759030.5	20.261780104712045	206.25	300.67377
759030.5	20.261780104712045	207.5	300.70306
759030.5	20.261780104712045	208.75	300.70108
759030.5	20.261780104712045	210.0	300.66672
759030.5	20.261780104712045	211.25	300.64597
759030.5	20.261780104712045	212.5	300.64523
759030.5	20.261780104712045	213.75	300.6238
759030.5	20.261780104712045	215.0	300.55673
759030.5	20.261780104712045	216.25	300.4778
759030.5	20.261780104712045	217.5	300.39398
759030.5	20.261780104712045	218.75	300.31982
759030.5	20.261780104712045	220.0	300.2583
759030.5	20.261780104712045	221.25	300.23804
759030.5	20.261780104712045	222.5	300.2701
759030.5	20.261780104712045	223.75	300.2839
759030.5	20.261780104712045	225.0	300.2392
759030.5	20.261780104712045	226.25	300.12756
759030.5	20.261780104712045	227.5	300.03046
759030.5	20.261780104712045	228.75	299.93713
759030.5	20.261780104712045	230.0	299.84845
759030.5	20.261780104712045	231.25	299.8084
759030.5	20.261780104712045	232.5	299.80466
759030.5	20.261780104712045	233.75	299.81174
759030.5	20.261780104712045	235.0	299.80527
759030.5	20.261780104712045	236.25	299.80798
759030.5	20.261780104712045	237.5	299.8509
759030.5	20.261780104712045	238.75	299.9303
759030.5	20.261780104712045	240.0	300.04654
759030.5	20.261780104712045	241.25	300.23013
759030.5	20.261780104712045	242.5	300.49658
759030.5	20.261780104712045	243.75	300.8553
759030.5	20.261780104712045	245.0	301.3014
759030.5	20.261780104712045	246.25	301.90402
759030.5	20.261780104712045	247.5	302.6686
759030.5	20.261780104712045	248.75	303.49335
759030.5	20.261780104712045	250.0	304.1825
759030.5	20.261780104712045	251.25	304.76123
759030.5	20.261780104712045	252.5	305.06268
759030.5	20.261780104712045	253.75	304.98096
759030.5	20.261780104712045	255.0	305.85178
759030.5	20.261780104712045	256.25	302.6332
759030.5	20.261780104712045	257.5	297.25656
759030.5	20.261780104712045	258.75	296.56296
759030.5	20.261780104712045	260.0	295.63336
759030.5	20.261780104712045	261.25	296.5581
